id,dag_id,execution_date,state,run_id,external_trigger,conf,end_date,start_date,run_type,last_scheduling_decision,dag_hash,creating_job_id
923,DAG_damage_return_etl2,"2021-01-06 04:15:00.000000",success,scheduled__2021-01-06T04:15:00+00:00,0,...,"2021-01-06 06:51:27.395622","2021-01-06 06:51:24.236414",scheduled,"2021-01-06 06:51:27.387248",da9e47668ce045243bfbc955612039e9,781
924,DAG_damage_return_etl2,"2021-01-06 04:20:00.000000",success,scheduled__2021-01-06T04:20:00+00:00,0,...,"2021-01-06 06:51:30.824808","2021-01-06 06:51:27.331340",scheduled,"2021-01-06 06:51:30.820225",da9e47668ce045243bfbc955612039e9,781
925,DAG_damage_return_etl2,"2021-01-06 04:25:00.000000",success,scheduled__2021-01-06T04:25:00+00:00,0,...,"2021-01-06 06:51:33.530686","2021-01-06 06:51:30.765676",scheduled,"2021-01-06 06:51:33.527777",da9e47668ce045243bfbc955612039e9,781
926,DAG_damage_return_etl2,"2021-01-06 04:30:00.000000",success,scheduled__2021-01-06T04:30:00+00:00,0,...,"2021-01-06 06:51:35.212905","2021-01-06 06:51:33.479610",scheduled,"2021-01-06 06:51:35.209842",da9e47668ce045243bfbc955612039e9,781
927,DAG_damage_return_etl2,"2021-01-06 04:35:00.000000",success,scheduled__2021-01-06T04:35:00+00:00,0,...,"2021-01-06 06:51:36.923310","2021-01-06 06:51:35.177878",scheduled,"2021-01-06 06:51:36.920224",da9e47668ce045243bfbc955612039e9,781
928,DAG_damage_return_etl2,"2021-01-06 04:40:00.000000",success,scheduled__2021-01-06T04:40:00+00:00,0,...,"2021-01-06 06:51:38.680536","2021-01-06 06:51:36.895811",scheduled,"2021-01-06 06:51:38.677234",da9e47668ce045243bfbc955612039e9,781
929,DAG_damage_return_etl2,"2021-01-06 04:45:00.000000",success,scheduled__2021-01-06T04:45:00+00:00,0,...,"2021-01-06 06:51:40.691405","2021-01-06 06:51:38.648792",scheduled,"2021-01-06 06:51:40.683887",da9e47668ce045243bfbc955612039e9,781
930,DAG_damage_return_etl2,"2021-01-06 04:50:00.000000",success,scheduled__2021-01-06T04:50:00+00:00,0,...,"2021-01-06 06:51:43.301115","2021-01-06 06:51:40.618360",scheduled,"2021-01-06 06:51:43.295462",da9e47668ce045243bfbc955612039e9,781
931,DAG_damage_return_etl2,"2021-01-06 04:55:00.000000",success,scheduled__2021-01-06T04:55:00+00:00,0,...,"2021-01-06 06:51:45.253130","2021-01-06 06:51:43.240860",scheduled,"2021-01-06 06:51:45.250037",da9e47668ce045243bfbc955612039e9,781
932,DAG_damage_return_etl2,"2021-01-06 05:00:00.000000",success,scheduled__2021-01-06T05:00:00+00:00,0,...,"2021-01-06 06:51:46.944186","2021-01-06 06:51:45.223163",scheduled,"2021-01-06 06:51:46.941106",da9e47668ce045243bfbc955612039e9,781
933,DAG_damage_return_etl2,"2021-01-06 05:05:00.000000",success,scheduled__2021-01-06T05:05:00+00:00,0,...,"2021-01-06 06:51:48.681048","2021-01-06 06:51:46.912256",scheduled,"2021-01-06 06:51:48.677425",da9e47668ce045243bfbc955612039e9,781
934,DAG_damage_return_etl2,"2021-01-06 05:10:00.000000",success,scheduled__2021-01-06T05:10:00+00:00,0,...,"2021-01-06 06:51:50.395255","2021-01-06 06:51:48.648937",scheduled,"2021-01-06 06:51:50.392072",da9e47668ce045243bfbc955612039e9,781
935,DAG_damage_return_etl2,"2021-01-06 05:15:00.000000",success,scheduled__2021-01-06T05:15:00+00:00,0,...,"2021-01-06 06:51:52.122207","2021-01-06 06:51:50.361793",scheduled,"2021-01-06 06:51:52.119043",da9e47668ce045243bfbc955612039e9,781
936,DAG_damage_return_etl2,"2021-01-06 05:20:00.000000",success,scheduled__2021-01-06T05:20:00+00:00,0,...,"2021-01-06 06:51:53.950578","2021-01-06 06:51:52.090319",scheduled,"2021-01-06 06:51:53.947445",da9e47668ce045243bfbc955612039e9,781
937,DAG_damage_return_etl2,"2021-01-06 05:25:00.000000",success,scheduled__2021-01-06T05:25:00+00:00,0,...,"2021-01-06 06:51:56.945254","2021-01-06 06:51:53.905113",scheduled,"2021-01-06 06:51:56.942002",da9e47668ce045243bfbc955612039e9,781
938,DAG_damage_return_etl2,"2021-01-06 05:30:00.000000",success,scheduled__2021-01-06T05:30:00+00:00,0,...,"2021-01-06 06:51:59.666003","2021-01-06 06:51:56.882069",scheduled,"2021-01-06 06:51:59.662728",da9e47668ce045243bfbc955612039e9,781
939,DAG_damage_return_etl2,"2021-01-06 05:35:00.000000",success,scheduled__2021-01-06T05:35:00+00:00,0,...,"2021-01-06 06:52:02.145273","2021-01-06 06:51:59.618569",scheduled,"2021-01-06 06:52:02.138982",da9e47668ce045243bfbc955612039e9,781
940,DAG_damage_return_etl2,"2021-01-06 05:40:00.000000",success,scheduled__2021-01-06T05:40:00+00:00,0,...,"2021-01-06 06:52:04.190459","2021-01-06 06:52:02.093470",scheduled,"2021-01-06 06:52:04.187241",da9e47668ce045243bfbc955612039e9,781
941,DAG_damage_return_etl2,"2021-01-06 05:45:00.000000",success,scheduled__2021-01-06T05:45:00+00:00,0,...,"2021-01-06 06:52:06.048608","2021-01-06 06:52:04.136868",scheduled,"2021-01-06 06:52:06.045758",da9e47668ce045243bfbc955612039e9,781
942,DAG_damage_return_etl2,"2021-01-06 05:50:00.000000",success,scheduled__2021-01-06T05:50:00+00:00,0,...,"2021-01-06 06:52:07.722480","2021-01-06 06:52:06.018762",scheduled,"2021-01-06 06:52:07.719212",da9e47668ce045243bfbc955612039e9,781
943,DAG_damage_return_etl2,"2021-01-06 05:55:00.000000",success,scheduled__2021-01-06T05:55:00+00:00,0,...,"2021-01-06 06:52:10.066474","2021-01-06 06:52:07.690874",scheduled,"2021-01-06 06:52:10.059767",da9e47668ce045243bfbc955612039e9,781
944,DAG_damage_return_etl2,"2021-01-06 06:00:00.000000",success,scheduled__2021-01-06T06:00:00+00:00,0,...,"2021-01-06 06:52:11.961615","2021-01-06 06:52:10.012629",scheduled,"2021-01-06 06:52:11.958142",da9e47668ce045243bfbc955612039e9,781
945,DAG_damage_return_etl2,"2021-01-06 06:05:00.000000",success,scheduled__2021-01-06T06:05:00+00:00,0,...,"2021-01-06 06:52:13.686267","2021-01-06 06:52:11.925992",scheduled,"2021-01-06 06:52:13.683026",da9e47668ce045243bfbc955612039e9,781
946,DAG_damage_return_etl2,"2021-01-06 06:10:00.000000",success,scheduled__2021-01-06T06:10:00+00:00,0,...,"2021-01-06 06:52:15.395553","2021-01-06 06:52:13.646816",scheduled,"2021-01-06 06:52:15.392510",da9e47668ce045243bfbc955612039e9,781
947,DAG_damage_return_etl2,"2021-01-06 06:15:00.000000",success,scheduled__2021-01-06T06:15:00+00:00,0,...,"2021-01-06 06:52:17.118919","2021-01-06 06:52:15.363553",scheduled,"2021-01-06 06:52:17.115944",da9e47668ce045243bfbc955612039e9,781
948,DAG_damage_return_etl2,"2021-01-06 06:20:00.000000",success,scheduled__2021-01-06T06:20:00+00:00,0,...,"2021-01-06 06:52:18.777526","2021-01-06 06:52:17.091936",scheduled,"2021-01-06 06:52:18.774594",da9e47668ce045243bfbc955612039e9,781
949,DAG_damage_return_etl2,"2021-01-06 06:25:00.000000",success,scheduled__2021-01-06T06:25:00+00:00,0,...,"2021-01-06 06:52:20.488964","2021-01-06 06:52:18.741549",scheduled,"2021-01-06 06:52:20.486061",da9e47668ce045243bfbc955612039e9,781
